Date,Price,Open,High,Low,Vol.,Change %
14-05-2024,"1,786.05","1,719.00","1,800.00","1,685.00",3.66M,4.20%
13-05-2024,"1,714.00","1,717.70","1,727.35","1,660.15",3.45M,-0.35%
10-05-2024,"1,720.00","1,739.70","1,756.00","1,701.75",2.25M,0.33%
09-05-2024,"1,714.35","1,788.00","1,819.10","1,702.30",489.86K,-4.12%
08-05-2024,"1,788.00","1,734.75","1,799.00","1,725.85",396.84K,3.95%
07-05-2024,"1,720.00","1,765.20","1,789.30","1,711.15",456.24K,-2.71%
06-05-2024,"1,767.95","1,763.85","1,785.95","1,750.00",558.42K,-1.62%
03-05-2024,"1,797.00","1,796.20","1,818.90","1,746.20",905.86K,0.39%
02-05-2024,"1,790.00","1,798.35","1,805.00","1,761.20",517.35K,-0.43%
30-04-2024,"1,797.65","1,814.00","1,838.80","1,791.00",488.77K,-0.51%
29-04-2024,"1,806.85","1,815.90","1,822.00","1,795.75",293.37K,0.01%
26-04-2024,"1,806.65","1,820.00","1,823.30","1,797.05",288.47K,-0.33%
25-04-2024,"1,812.65","1,818.00","1,819.65","1,792.35",405.97K,0.24%
24-04-2024,"1,808.30","1,824.95","1,838.50","1,795.00",294.14K,-0.45%
23-04-2024,"1,816.40","1,809.65","1,840.00","1,799.70",631.34K,1.26%
22-04-2024,"1,793.75","1,802.00","1,814.60","1,780.00",346.71K,1.34%
19-04-2024,"1,770.05","1,761.20","1,785.00","1,733.00",665.96K,-0.30%
18-04-2024,"1,775.45","1,829.70","1,849.90","1,761.20",675.36K,-2.00%
16-04-2024,"1,811.65","1,803.00","1,838.10","1,802.20",495.01K,-0.19%
15-04-2024,"1,815.10","1,801.00","1,850.00","1,800.00",978.52K,-3.66%
12-04-2024,"1,884.05","1,907.90","1,925.00","1,880.00",393.68K,-1.23%
10-04-2024,"1,907.50","1,920.05","1,924.15","1,895.00",301.53K,-0.45%
09-04-2024,"1,916.20","1,930.40","1,945.00","1,908.95",294.09K,-0.15%
08-04-2024,"1,919.10","1,948.05","1,974.95","1,904.40",893.40K,0.90%
05-04-2024,"1,901.95","1,890.85","1,937.75","1,875.00",724.44K,0.59%
04-04-2024,"1,890.85","1,900.50","1,925.00","1,882.00",791.18K,0.63%
03-04-2024,"1,878.95","1,893.15","1,904.00","1,877.00",611.12K,-0.72%
02-04-2024,"1,892.65","1,891.00","1,906.00","1,872.05",440.58K,0.23%
01-04-2024,"1,888.30","1,865.00","1,908.90","1,865.00",573.43K,2.90%