"Date","Price","Open","High","Low","Vol.","Change %"
"14-05-2024","2,839.00","2,815.10","2,854.05","2,813.70","3.59M","1.21%"
"13-05-2024","2,805.00","2,806.65","2,812.80","2,768.50","4.23M","-0.07%"
"10-05-2024","2,807.00","2,795.75","2,819.60","2,776.85","5.25M","0.79%"
"09-05-2024","2,784.90","2,829.15","2,846.60","2,780.90","5.50M","-1.77%"
"08-05-2024","2,835.00","2,798.60","2,865.40","2,798.30","4.72M","0.96%"
"07-05-2024","2,808.00","2,834.10","2,840.25","2,784.60","7.26M","-1.26%"
"06-05-2024","2,843.95","2,878.90","2,879.00","2,836.50","3.70M","-0.84%"
"03-05-2024","2,868.00","2,942.00","2,949.90","2,832.30","8.61M","-2.22%"
"02-05-2024","2,933.10","2,944.00","2,954.65","2,928.25","7.26M","-0.03%"
"30-04-2024","2,934.00","2,936.00","2,966.15","2,925.75","5.74M","0.13%"
"29-04-2024","2,930.05","2,900.00","2,935.80","2,900.00","3.62M","0.86%"
"26-04-2024","2,905.10","2,927.90","2,930.00","2,900.00","4.71M","-0.51%"
"25-04-2024","2,919.95","2,885.00","2,935.95","2,883.00","7.97M","0.68%"
"24-04-2024","2,900.35","2,927.00","2,937.10","2,899.00","5.23M","-0.63%"
"23-04-2024","2,918.65","2,958.00","2,987.00","2,911.10","7.30M","-1.39%"
"22-04-2024","2,959.70","2,944.90","2,965.65","2,935.60","5.18M","0.66%"
"19-04-2024","2,940.25","2,913.55","2,948.00","2,886.05","7.87M","0.40%"
"18-04-2024","2,928.65","2,927.00","2,972.00","2,918.70","9.50M","-0.10%"
"16-04-2024","2,931.50","2,906.70","2,942.35","2,901.85","4.68M","0.06%"
"15-04-2024","2,929.65","2,922.00","2,964.25","2,892.65","6.45M","-0.16%"
"12-04-2024","2,934.30","2,951.75","2,972.95","2,926.15","7.78M","-0.84%"
"10-04-2024","2,959.15","2,932.70","2,974.00","2,932.70","4.57M","1.09%"
"09-04-2024","2,927.30","2,978.00","2,979.60","2,925.00","3.54M","-1.50%"
"08-04-2024","2,971.95","2,925.95","2,981.95","2,922.00","4.18M","1.77%"
"05-04-2024","2,920.20","2,921.75","2,941.60","2,912.00","3.72M","-0.19%"
"04-04-2024","2,925.85","2,959.50","2,959.50","2,900.00","7.25M","-0.59%"
"03-04-2024","2,943.20","2,964.15","2,968.90","2,937.80","3.50M","-1.03%"
"02-04-2024","2,973.90","2,968.00","2,988.00","2,950.00","4.46M","0.15%"
"01-04-2024","2,969.55","2,984.95","2,987.95","2,965.00","2.51M","-0.07%"